ports,container_type,incoterms,terms
"Seattle, US, USSEA",,,
"Virginia Beach, US, USVAB",,,
"Houston, US, USHOU",,,
"Charleston, US, USCHS",,,
"Oakland, US, USOAK",,,
"Miami, US, USMIA",,,
"Da Nang, VN, VNDAD",,,
"Haiphong, VN, VNHPH",,,
"Ho Chi Minh City, VN, VNSGN",,,
"Ho Chi Minh, VN, VNVIC",,,
"Qui Nhon, VN, VNUIH",,,
"Aden, YE, YEADE",,,
"Cape Town, ZA, ZACPT",,,
"Durban, ZA, ZADUR",,,
"East London, ZA, ZAELS",,,
"Port Elizabeth, ZA, ZAPLZ",,,
"Port Nolloth, ZA, ZANOL",,,
"Richards Bay, ZA, ZARCB",,,
"Harare, ZW, ZWHRE",,,
